Acteur_ID,Acteurs,Act_CDB,Act_CDF,Act_Prenoms,Act_Noms,Act_Sx,Act_DDN,Act_DDD,Act_Prf,Act_Orig
100001,Willie Aames,,,William,Aames,M,1960,199x,RU:,Am
100002,Diahnne Abbott,1976,1982,Diahnne,Abbott,F,1945,199x,R:sexy,Am
100003,Bud Abbott,1939,1956,Bud,Abbott,M,1895,1974,R:straight comedian,Am
100004,George Abbott,1928,1958,George,Abbott,M,1887,199x,R:playwright producer,Am
100005,John Abbott,1937,1975,John,Abbott,M,1905,199x,R:staring eyes,Br
100006,Philip Abbott,1957,1973,Philip,Abbott,M,1923,199x,R:second lead,Am
100007,Kareem AbdulJabbar,,,Kareem,AbdulJabbar,M,1947,199x,R:basketball player,Am
100008,Walter Abel,1935,1974,Walter,Abel,M,1898,1987,R:harrassed hero,Am
100009,Frankie Vaughan,1956,1964,Frank,Abelson,M,1928,199x,R:flamboyant song and dance man,Br
100010,F.Murray Abraham,1983,,F.Muray,Abraham,M,1939,199x,RU:,Am
100011,James Abrahams,,,James,Abrahams,M,1867,199x,RU:,Un
100012,Victoria Abril,1985,1990,Victoria,Abril,F,1959,199x,R:sexy,Esp
100013,Sophie Tucker,1929,1944,Sophia,Abuza,F,1884,1966,R:lead,Ru
100014,Joss Ackland,1949,1979,Joss,Ackland,M,1928,199x,R:larger-than-life personality,Br
100015,Dan Ackroyd,1979,1990,Dan,Ackroyd,M,,199x,R:comic,Am
100016,David Ackroyd,,,David,Ackroyd,M,1940,199x,RU:,Am
100017,Peter Ackroyd,,,Peter,Ackroyd,M,1949,199x,RU:,Un
100018,Rodolfo Acosta,1948,1967,Rodolfo,Acosta,M,1920,1974,R:cold-eyed,Am-Me
100019,Eddie Acuff,1935,1947,Eddie,Acuff,M,1902,1956,R:supporting comedian,Am
100020,Jean Adair,1922,1947,Jean,Adair,F,1872,1956,R:sweet aunt,Am
100021,Alfred Adam,1935,1961,Alfred,Adam,M,1909,1982,R:weak  villainous,Fr
100022,Ronald Adam,1938,1971,Ronald,Adam,M,1896,1979,R:well-bred  stuffy professional,Br
100023,John Adames,,,Jhon,Adames,M,1972,199x,RU:,Un
100024,Beverly Adams,1963,1967,Beverly,Adams,F,1945,199x,R:lead,Ca
100025,Brooke Adams,1977,1983,Brooke,Adams,F,1949,199x,R:laid-back,Am
100026,Dorothy Adams,1938,1976,Dorothy,Adams,F,1915,199x,R:timorous sullen,Am
100027,Jane Adams,1945,1949,Jane,Adams,F,1921,199x,RU:,Am
100028,Jill Adams,1954,1966,Julia,Adams,F,1931,199x,R:pert light lead,Br
