FilmRef,Film_Nom,Film_Ann,FR_nom,FP_nom,FS_nom,Process,Categorie,F_Rcp
AWj27,The Promised Land,1987,D:Wajda,PN:,SU:,prc,Drame,aw
T10,Red Dwarf,1998,D:LeMoine,PU:,SU:,prc,Drame,
HK20,The White Sister,1933,D:H.King,PN:,SU:,bws,Drame,aw
H83,Frenzy,1972,D:Hitchcock,P:Hitchcock,St:Pinewood,Tcol,Suspense,
FSt42,Blondie for Victory,1942,D:Strayer,PN:,St:Columbia,bnw,Comédie,aw
JnC1td,The Sent Down Girl,1999,D:J.Chen,PU:,SU:,prc,Drame,
MdO121,The Letter,1999,D:deOliveira,PU:,SU:,prc,Romance,
StK21,Eyes Wide Shut,1999,D:Kubrick,PU:,St:Warners,prc,Romance,
RAl102,Cookie's Fortune,1999,D:Altman,"PN:Altman, Etchie Stroh","St:Sandcastle, SD:October",col,Comédie,
SL62,Gloria,1999,D:Lumet,PU:,SU:,prc,Drame,
KLo56,My Name is Joe,1999,D:Loach,PU:,SU:,prc,Drame,
WH38,My Intimate Enemy,1999,D:Herzog,PU:,SU:,prc,Documentaire,GP
DCr37,eXistenZ,1999,D:Cronenberg,PU:,SU:,prc,Drame,
CEa21,True Crime,1999,D:Eastwood,"PN:Richard D. Zanuck, Lili Fni Zanuck","St:Malpaso, SD:Warners",prc,Suspense,
GgL5,"Episode 1, The Phantom Menace",1999,D:G.Lucas,PN:Rick McCallum,S:Lucasfilm,col,SciFi,aw
RHo34,EDtv,1999,D:R.Howard,"PN:Brian Grazer, Howard",St:Universal,prc,Comédie,
DLy21,The Straight Story,1999,D:D.Lynch,PU:,SU:,prc,Aventure,
ErM25,Mr. Death,1999,D:E.Morris,PU:,SU:,prc,Biopic,aw
PSc41,Affliction,1999,D:Schrader,PU:,SD:LionsGate,prc,Drame,
HaR28,Analyze This,1999,D:Ramis,"PN:Paula Weinstein, Jane Rosenthal",St:Warners,col,Comédie,
PAl21,All About My Mother,1999,D:Almodovar,PU:,SU:,prc,Drame,GP Dir
