'Ref_name','codes','Did','years','last_n','first_n','dob','dod'
Aaron,D,PAa,@1979,Aaron,Paul,,
Abel,DPW,JeA,@1971,Abel,Jeanne,,
Abbott,AWDP,GgA,@1929-1958,Abbott,George,1887,
Abrahams,WD,xAb,@1948,Abrahams,,,
J.Abrahams,WD,JiA,@1980-1988,Abrahams,Jim,,
Jeffrey Abrams,W,,@1991-1992,Abrams,Jeffrey,1967,
Abramson,D,NAb,@1998,Abramson,Neil,,
Abduladze,D,TAb,@1977,Abduladze,Tengiz,,
Abramson,D,NAb,@1998,Abramson,Nel,,
Ackerman,D,RAA,@1994,Ackerman,Robert Allan,19xx,
Acub,D,NAA,@1957,Acub,Nya' Abbas,,
Ken Adam,V,,1947-1993,Adam,Ken,1921,
Adamson,DP,AlA,@1969-1983,Adamson,Al,,
Addis,D,JuA,@1955-1957,Addis,Justus,,
Adler,D,GAe,@1996,Adler,Gilber,,
C.Adler,D,CAd,@1998,Adler,Carine,,
Adlon,D,PAd,@1981-1994,Adlon,Percy,,
Adolfi,AD,IGA,@1915-1933,Adolfi,John G.,1888,1933
Adomenaite,D,NyA,@1991,Adomenaite,Niyole,19xx,
Afredson,D,DAf,@1993,Afredson,Daniel,19xx,
Aguirre,D,MoA,@1991,Aguirre,Monte,19xx,
Fred Ahern,P,,,Ahern,Fred,,
Akerman,D,CAm,@1969-1993,Akerman,Chantal,19xx,
Akkad,D,MAk,@1976,Akkad,Mustapha,,
Alardice,W,,,Allardice,James,,
Alda,AWD,AAl,@1979-1986,Alda,Alan,1936,
Aldrich,DP,RoA,@1953-1981,Aldrich,Robert,1918,1983
Alea,D,TGA,@1964-1968,Alea,Tomas Gutierrez,1927,1996
Alessandrini,D,GoA,@1942,Alessandrini,Goffredo,,
Alexander,WPD,JAx,@1992,Alexander,Jourdon,19xx,
Alexandrov,D,GAv,@1934,Alexandrov,Grigori,19xx,19xx
Algar,D,JAl,@1954,Algar,James,19xx,
Aliwalas,WDA,FcA,@1997,Aliwalas,Francisco,1965,199x
Algrant,WD,DAl,@1994,Algrant,Dan,19xx,
M.Allegret,D,MAl,@1931-1963,Allégret,Marc,1900,1973
Y.Allegret,D,YAl,@1941-1963,Allégret,Yves,1907,
C.Allen,ADW,CoA,@1977-1978,Allen,Corey,1934,
F.Allen,D,FAl,@1940,Allen,Fred,,
I.Allen,WPD,InA,@1955-1974,Allan,Irwin,1916,1991
L.Allen,D,LAl,@1944-1963,Allan,Lewis,1905,
T.Allen,WD,TAl,@1990,Allan,Ted,,
Woody Allen,WDAP,WA,@1969-1991,Konigsberg,Allen Stewart,1935,
Allers,D,RgA,@1994,Allers,Roger,19xx,
Almendros,C,,@1965,Almendros,Nestor,1931,1992
Almond,DW,PlA,@1959-1968,Almond,Paul,,
Almodovar,DA,PAl,@1980-1994,Almodóvar,Pedro,1951,
Altman,DWP,RAl,@1955-1982,Altman,Robert,1922,
Amadio,D,SiA,@1960,Amadio,Silvio,,
Amaral,D,SuA,@1985,Amaral,Suzana,,
Amelio,D,GnA,@1993-1996,Amelio,Gianni,19xx,
Amenabar,D,AAm,@1999,Amenábar,Alejandro,19xx,19yy
Amurri,WD,FAm,@1989-1994,Amurri,Franco,,199x
Amiel,PD,JoA,@1990-1993,Amiel,Jon,,
Anders,D,AAn,@1992-1194,Anders,Allison,,
Andersen,D,ToA,@1974,Andersen,Thom,19xx,
B.Anderson,D,BdA,@1996,Anderson,Brad,,
K.Anderson,D,KuA,@1991,Anderson,Kurt,,
Lr.Anderson,D,LrA,@1991,Anderson,Laurie,,
L.Anderson,DA,LiA,@1953-1987,Anderson,Lindsay,1923,1994
M.Anderson,D,MiA,@1950-1982,Anderson,Michael,1920,
P.Anderson,WD,PTA,@1997,Anderson,Paul Thomas,19xx,
S.Anderson,D,SvA,@1992,Anderson,Steve,,
W.Anderson,D,WeA,@1996,Anderson,Wes,,
deAndrade,D,JPd,@1962-1969,de b,Joaquim Pedro,,
G.Andre,D,,@1911,André,Henri,19xx,
Andre,D,RAn,@19dd,André,Raoul,1916,1992
Angel,D,MxA,@1975,Angel,Mikel,,
Angelidi,D,AAg,@1985,Angelidi,Antoinetta,,
Angelo,DW,YvA,@1995,Angelo,Yves,19xx,
Angelopoulos,D,TAn,@1970-1998,Angelopoulos,Theo,1935,199x
Angelou,D,MaA,@1998,Angelou,Maya,1928,199x
Annakin,D,KeA,@1946-1982,Annakin,Ken,1914,
Annaud,D,JJA,@1971-1992,Annaud,Jean-Jaques,,
Anouilh,BW,,1947-1964,Anouilh,Jean,1910,
Antel,D,yAn,@1988,Antel,gn,19xx,
Anthony,DA,JAn,@1956-1972,Deuster,Joseph,1912,
Antonijevic,D,PAn,@1998,Antonijevic,Peter,,
Antonio,AD,LAn,@1985,Antonio,Lou,,
Antonioni,D,MA,@1950-1982,Antonioni,Michelangelo,1912,
Apostoloff,DP,StA,@1965,Apostoloff,Stephen C.,,
Apted,D,MAp,@1964-1994,Apted,Michael,1941,
Aragon,D,MGA,@1982,Aragon,Manuel Guiterrez,,
Araki,DWCE,GrA,@1988,Araki,Gregg,19xx,
Aranda,D,VAr,@1992,Aranda,Vincente,,
Arau,D,AfA,@1992,Arau,Alfonso,,
Arcand,D,DeA,@1989,Arcand,Denys,,
Archainbaud,D,GAr,@1919-1953,Archainbaud,George,1890,1959
Ardolino,D,EAr,@1987-1993,Ardolino,Emile,,
Argento,DW,DaA,@1970-1991,Argento,Dario,1943,
Argyle,DP,IAg,@1931-1950,Argyle,John,1911,
Aristarain,D,AAt,@1990,Aristarain,Adolfo,19xx,
Aristov,D,ViA,@1990,Aristov,Voktor,,
Arkush,D,AAR,@1979-1981,Arkush,Allan,,
Arkoff,P,,1953-1979,Arkoff,Samuel Z.,1919,
Arlen,D,MAr,@1927-1928,Arlen,Michael,,
Arliss,WD,LAr,@1942-1955,Arliss,Leslie,1901,
Armitage,D,GeA,@1990-1997,Armitage,George,,
Armstrong,D,GiA,@1979-1994,Armstrong,Gillian,1952,
Arnold,D,JA,@1953-1976,Arnold,Jack,1916,
Aronofsky,D,DAr,@1998,Aronofsky,Darren,,
Arslan,D,YiA,@1992,Arslan,Yilmar,19xx,
Arthur,D,KaA,@1991,Arthur,Karen,,
Robert Arthur,P,,1968,Arthur,Robert T.,,
Arzner,D,DAz,@1927-1943,Arzner,Dorothy,1900,1979
Ascot,D,AnA,@1980,Ascot,Anthony,,
Ashby,DE,HAs,@1970-1982,Ashby,Hal,1936,1988
R.Asher,DWP,RAs,@1959-1966,Asher,Robert,1915,
W.Asher,D,WAr,@1948-1966,Asher,William,1919,
Ashton,GD,FAs,@1971,Ashton,Sir Frederick,,
Asquith,D,AA,@1928,Asquith,Anthony `Puffin',1902,1968
Assayas,D,OlA,@1990-1997,Assayas,Oliver,19xx,
Atkins,D,ThA,@1934,Atkins,Thomas,,
Attenborough,APD,RA,@1942-1996,Attenborough,Sir Richard,1923,
Attias,D,DnA,@1985,Attias,Daniel,,
Audry,D,JqA,@1948-1966,Audrey,Jaqueline,1908,1977
Auer,D,IHA,@1935-1957,Auer,John H.,1909,1975
Auger,D,MAu,@1944-1977,Auger,Kenneth,1932,
August,WD,BiA,@1988-1997,August,Bille,,
Aurel,D,JAu,@1969-1970,Aurel,Jean,19xx,
Auster,WD,PAu,@1998,Auster,Paul,,
Austin,D,RAu,@1970-1983,Austin,Ray,19xx,
AutantLara,D,CAL,@1933-1970,Autant-Lara,Claude,1903,
Auzins,D,IoA,@1983,Auzins,Igor,,
Avati,D,PuA,@1990,Avati,Pupi,,
Avedis,D,HAv,@1981,Avedis,Howard,,
Averback,D,HyA,@1970-1984,Averback,Hy,1924,
J.G.Avildson,D,IAv,@1967-1983,Avildson,John G.,1936,
T.Avildson,D,TAv,@1982,Avildson,Tom,,
Avnet,WDP,JAv,@1991,Avnet,Jon,19xx,
Axelman,D,xAx,@1969,Axelman,Un,,
G.Axelrod,WPD,GAd,@1966-1968,Axelrod,George,1922,
Axelrod,D,GAx,@1988,Axelrod,Gxx,,
Ayca,D,EAy,@1988,Ay{c}ca,Engin,,
Babenco,D,HeB,@1975-1991,Babenco,Hector,,
Bacon,D,LlB,@1926-1954,Bacon,Lloyd,1890,1955
Bachmann,D,GiB,@1970,Bachmann,Gideon,19xx,
Back,D,FrB,@1970-1994,Back,Frédérick,19xx,
Badger,D,CBa,@1919-1939,Badger,Clarence,1880,1964
Badham,D,IBa,@1971-1988,Badham,John,,
M.Baer,ADP,MxB,@1975-1976,Baer,Max jr,1937,
L.Baer,D,LzB,@1990,Baer,Liza,,
Bahr,D,FxB,@1991,Bahr,Fax,,
Baier,D,JoB,@1991,Baier,Jo,19xx,
Bail,D,CkB,@1976,Bail,Chuck,,
Bailey,D,IBl,@1991-1994,Bailey,John,,
Baird,D,SBd,@1996,Baird,Stuart,19xx,199x
G.Baker,D,GrB,@1981-1988,Baker,Graham,,
R.S.Baker,PD,RSB,@1950-1961,Baker,Robert S.,1916,
R.W.Baker,DP,RWB,@1934-1981,Baker,Roy Ward,1916,
Bakshi,WD,RBa,@1971-1982,Bakshi,Ralph,1939,
Baxley,D,CBx,@1988,Baxley,Craig R.,19xx,199x
Bela Balazs,W,,1919-1931,Bauer,Hubert,1884,1949
Balsmeyer,D,JBm,@1991,Balsmeyer,Jeff,19xx,
Barney Balaban,P,,,Balaban,Barney,1887,1971
Balabanov,D,AxB,@1998,Balabanov,Alexei,,
Barney,D,MwB,@1992,name1,Matthew,19xx,199x
Batabas,D,xBa,@1993,Bartabas,gn,19xx,
Bob Balaban,AD,BoB,@1989,Balaban,Bob,1965,
Burt Balaban,DP,BB,@1957-1966,Balaban,Burt,1922,
Balcon,P,,1923-1963,Balcon,Sir Michael,1896,1977
Baldwin,D,RAB,@1917,Baldwin,Ruth Ann,,
C.Ballard,D,CBd,@1980-1983,Ballard,Carroll,,
J.Ballard,DW,IBd,@1980,Ballard,John,,
Lucien-Ballard,C,,@1935-1976,Ballard,Lucien,1908,
Ballhaus,C,,@1970-1990,Ballhaus,Michael,1935,
Band,DPW,ABd,@1956-1957,Band,Afredo (Albert),1924,
Banks,AD,MBa,@1931-1941,Bianchi,Mario (Monty),1897,1950
Banno,D,YBa,@1971,Banno,Yoshimitsu,,
Bano,D,AlB,@1978,Bano,Albert,,
N.Barker,D,NBa,@1998,Barker,Nicholas,,
R.Barker,D,ReB,@1914,Barker,Reginald,,
George Barnes,C,,1945,Barnes,George,,
Barnett,D,IvB,@1949,Barnett,Ivan,,
Barret,D,BuB,@1927,Barret,Bruno,,
B.Barreto,D,BBa,@1976,Barreto,Bruno,,
L.Barreto,D,LBa,@1953,Barreto,Lima,1905,1982
L.C.Barreto,P,,@1976,Barreto,Luis Carlos,,
Barrett,D,SlB,@1997,Barrett,Shirley,,199x
Barron,D,SBa,@1990-1993,Barron,Steve,,
Barrymore,AWD,LiB,@1938-1945,Blythe,Lionel,1878,1954
Bartel,DAW,PBa,@1972-1989,Bartel,Paul,1940,
Bartlett,WPD,HaB,@1955-1978,Bartlett,Hall,1922,1993
Basaran,D,TuB,@1991,Basaran,Tunc,,
Barton,D,CTB,@1948-1959,Barton,Charles T.,,
Bass,D,SBs,@1974,Bass,Saul,,
Bava,CDW,MaB,@1960-1971,Bava,Mario,,
Bay,D,MBy,@1995,Bay,Michael,,199x
Bean,D,RBB,@1971,Bean,Robert B.,,
Beatty,APWD,WBe,@1978-1998,Beatty,Warren,1937,
Beaudine,D,WiB,@1923-1966,Beaudine,William,1892,197x
Ch.Beaumont,WD,CBe,@1981,Beaumont,Charles,,
